amd.com,2020,2020-08,,1162
Mellanox Technologies,2017,2017-10,,404
amd.com,2016,2016-08,,804
SUSE Linux,2008,2008-03,,409
Samsung Electronics,2010,2010-01,,162
Netronome Systems,2017,2017-12,,150
SUSE Linux,2008,2008-05,,567
Linaro,2011,2011-11,,372
Nick Piggin,2022,2022-04,,282
Intel,2008,2008-12,,1852
Huawei Technologies,2020,2020-11,,457
Red Hat,2009,2009-04,,1812
Jason A. Donenfeld,2018,2018-05,,138
Texas Instruments,2013,2013-06,,631
Intel,2022,2022-08,,1435
Samsung Electronics,2013,2013-07,,730
Intel,2009,2009-06,,1373
Alibaba,2008,2008-07,,116
Intel,2016,2016-05,,1632
Samsung Electronics,2015,2015-11,,668
Samsung Electronics,2011,2011-10,,291
Intel,2019,2019-05,,2016
Arnd Bergmann,2014,2014-05,,47
SUSE Linux,2017,2017-06,,726
Intel,2018,2018-08,,1349
Intel,2008,2008-06,,1112
Intel,2021,2021-04,,1664
Red Hat,2014,2014-02,,1303
Red Hat,2008,2008-03,,1143
Samsung Electronics,2012,2012-01,,236
Red Hat,2007,2007-11,,1055
Samsung Electronics,2014,2014-09,,628
Intel,2014,2014-07,,1601
SUSE Linux,2021,2021-08,,220
David M. Loft,2008,2008-07,,373
Linaro,2015,2015-07,,825
Samsung Electronics,2015,2015-10,,684
Texas Instruments,2010,2010-11,,178
Linaro,2016,2016-01,,511
amd.com,2017,2017-09,,1324
Texas Instruments,2016,2016-10,,266
SUSE Linux,2019,2019-02,,428
Samsung Electronics,2015,2015-07,,844
Intel,2007,2007-12,,718
Linaro,2012,2012-09,,1110
Red Hat,2018,2018-09,,1435
Red Hat,2015,2015-01,,2664
amd.com,2020,2020-02,,628
amd.com,2019,2019-11,,1066
Intel,2009,2009-10,,1274
Linaro,2013,2013-05,,734
Red Hat,2011,2011-11,,1823
Linaro,2013,2013-10,,952
Synaptics,2020,2020-06,,11
SUSE Linux,2022,2022-05,,213
Oracle,2006,2006-12,,222
Intel,2008,2008-07,,1568
Huawei Technologies,2012,2012-07,,190
Linaro,2016,2016-08,,1213
Red Hat,2022,2022-04,,675
Sony,2019,2019-10,,322
Huawei Technologies,2019,2019-09,,385
Intel,2016,2016-11,,2248
Oracle,2018,2018-04,,448
Red Hat,2011,2011-07,,1934
Intel,2012,2012-09,,1180
SUSE Linux,2017,2017-04,,230
Huawei Technologies,2022,2022-08,,415
The Linux Kernel Archives,2016,2016-12,,209
Red Hat,2008,2008-10,,1846
SUSE Linux,2015,2015-03,,448
The Linux Kernel Archives,2016,2016-06,,545
SUSE Linux,2010,2010-09,,369
Texas Instruments,2013,2013-09,,338
The Linux Kernel Archives,2007,2007-02,,198
Intel,2018,2018-11,,1419
Linaro,2018,2018-02,,925
SUSE Linux,2012,2012-10,,492
SUSE Linux,2005,2005-08,,667
SUSE Linux,2009,2009-12,,798
Red Hat,2017,2017-12,,682
Red Hat,2014,2014-06,,1441
Red Hat,2010,2010-04,,1610
Samsung Electronics,2016,2016-07,,3239
Linux Foundation,2020,2020-09,,29
Broadcom,2017,2017-05,,231
Intel,2012,2012-06,,1359
SUSE Linux,2007,2007-06,,258
The Linux Kernel Archives,2021,2021-02,,1116
Red Hat,2019,2019-02,,855
Texas Instruments,2018,2018-03,,110
Red Hat,2016,2016-10,,1225
Linaro,2020,2020-05,,626
Linaro,2011,2011-09,,341
Intel,2019,2019-12,,1710
The Linux Kernel Archives,2017,2017-07,,1029
SUSE Linux,2005,2005-09,,770
The Linux Kernel Archives,2020,2020-04,,4914
Intel,2015,2015-03,,1512
Sony,2020,2020-12,,40
SUSE Linux,2020,2020-11,,430
Alibaba,2019,2019-04,,82
amd.com,2012,2012-06,,216
Intel,2008,2008-05,,822
Arnd Bergmann,2010,2010-07,,150
SYSGO,2019,2019-04,,4
Intel,2009,2009-09,,1752
amd.com,2022,2022-08,,723
SUSE Linux,2007,2007-09,,302
SUSE Linux,2009,2009-03,,1085
Linaro,2007,2007-02,,156
David M. Loft,2008,2008-08,,497
PMC-Sierra,2013,2013-03,,26
Linaro,2015,2015-04,,736
Red Hat,2016,2016-04,,1765
The Linux Kernel Archives,2017,2017-09,,1006
Red Hat,2007,2007-08,,764
Red Hat,2022,2022-03,,785
Mellanox Technologies,2005,2005-07,,12
amd.com,2008,2008-08,,394
Nick Piggin,2018,2018-11,,70
David M. Loft,2005,2005-07,,149
The Linux Kernel Archives,2016,2016-07,,415
Broadcom,2011,2011-08,,587
Red Hat,2021,2021-03,,921
Red Hat,2020,2020-05,,1081
Texas Instruments,2014,2014-05,,532
Alibaba,2019,2019-09,,31
David M. Loft,2006,2006-09,,66
amd.com,2016,2016-09,,460
Oracle,2018,2018-01,,628
Red Hat,2009,2009-01,,2096
Linaro,2019,2019-10,,959
Huawei Technologies,2013,2013-01,,85
Linaro,2011,2011-12,,437
Red Hat,2012,2012-08,,2592
Jason A. Donenfeld,2018,2018-02,,43
Red Hat,2010,2010-05,,1457
Intel,2015,2015-04,,2072
Intel,2020,2020-06,,2893
Oracle,2020,2020-10,,339
Red Hat,2013,2013-02,,1094
Linaro,2015,2015-01,,500
The Linux Kernel Archives,2012,2012-09,,406
The Linux Kernel Archives,2009,2009-08,,242
Red Hat,2019,2019-11,,972
SUSE Linux,2010,2010-08,,390
The Linux Kernel Archives,2021,2021-09,,1488
Linaro,2013,2013-04,,852
Mellanox Technologies,2022,2022-09,,345
The Linux Kernel Archives,2016,2016-04,,502
Broadcom,2011,2011-03,,343
SUSE Linux,2014,2014-01,,632
Netronome Systems,2019,2019-01,,221
Samsung Electronics,2013,2013-05,,660
Samsung Electronics,2012,2012-12,,437
Oracle,2022,2022-06,,146
David M. Loft,2009,2009-09,,215
Huawei Technologies,2022,2022-05,,405
Red Hat,2009,2009-02,,1053
Mellanox Technologies,2018,2018-05,,398
Linux Foundation,2009,2009-02,,78
Intel,2011,2011-09,,1040
Alibaba,2022,2022-04,,211
Red Hat,2015,2015-07,,974
Linaro,2006,2006-04,,20
The Linux Kernel Archives,2020,2020-09,,2036
Red Hat,2022,2022-08,,1055
Oracle,2013,2013-12,,151
Oracle,2008,2008-11,,336
Mellanox Technologies,2021,2021-10,,453
Intel,2021,2021-03,,2410
amd.com,2022,2022-09,,731
Samsung Electronics,2013,2013-12,,813
Intel,2014,2014-09,,2010
Linaro,2016,2016-04,,868
Jason A. Donenfeld,2019,2019-09,,47
Huawei Technologies,2018,2018-07,,413
Broadcom,2019,2019-05,,284
The Linux Kernel Archives,2019,2019-06,,2136
Broadcom,2010,2010-07,,118
Red Hat,2007,2007-09,,347
Red Hat,2012,2012-11,,1997
SUSE Linux,2008,2008-07,,929
Nick Piggin,2015,2015-05,,115
Linaro,2014,2014-12,,363
The Linux Kernel Archives,2022,2022-04,,1113
Arnd Bergmann,2013,2013-01,,56
Linaro,2020,2020-12,,786
Linux Foundation,2017,2017-04,,6
Intel,2006,2006-03,,1768
Samsung Electronics,2019,2019-10,,54
Intel,2018,2018-09,,1673
Broadcom,2009,2009-10,,170
Linaro,2014,2014-09,,586
The Linux Kernel Archives,2020,2020-11,,1602
amd.com,2012,2012-11,,126
SUSE Linux,2020,2020-01,,826
Red Hat,2011,2011-01,,1468
SUSE Linux,2015,2015-05,,360
Samsung Electronics,2015,2015-09,,677
Linaro,2018,2018-04,,669
Red Hat,2013,2013-09,,1299
Red Hat,2013,2013-04,,1477
The Linux Kernel Archives,2007,2007-04,,26
SUSE Linux,2008,2008-04,,972
Linaro,2011,2011-03,,476
Intel,2011,2011-05,,2275
Red Hat,2013,2013-11,,1093
Intel,2008,2008-10,,1375
Texas Instruments,2016,2016-03,,236
Red Hat,2007,2007-02,,523
Red Hat,2013,2013-10,,1576
Oracle,2012,2012-11,,83
Intel,2014,2014-02,,2272
Mellanox Technologies,2020,2020-05,,633
Red Hat,2019,2019-03,,946
SUSE Linux,2017,2017-11,,15703
amd.com,2020,2020-01,,611
Samsung Electronics,2011,2011-06,,327
amd.com,2018,2018-11,,1067
Sebastian Radtke,2010,2010-02,,24
Nick Piggin,2008,2008-04,,565
Red Hat,2019,2019-06,,1228
Huawei Technologies,2020,2020-10,,428
Red Hat,2022,2022-06,,1122
Mellanox Technologies,2015,2015-03,,124
Oracle,2021,2021-08,,216
Red Hat,2018,2018-02,,680
Proton Technologies,2010,2010-07,,2
Oracle,2007,2007-11,,229
amd.com,2022,2022-03,,689
Red Hat,2015,2015-04,,917
The Linux Kernel Archives,2022,2022-06,,1673
amd.com,2009,2009-05,,303
Arnd Bergmann,2018,2018-07,,178
SUSE Linux,2014,2014-07,,1117
amd.com,2009,2009-04,,1230
Oracle,2017,2017-08,,470
The Linux Kernel Archives,2016,2016-10,,262
amd.com,2008,2008-10,,782
